Context,File Name,AudioLink,class,helper
Feeding,10420.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10420.wav,0,0.013480934
Feeding,10422.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10422.wav,0,0.421178892
Fighting,10449.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10449.wav,1,0.267737314
Feeding,10643.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10643.wav,0,0.866124301
Feeding,10646.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10646.wav,0,0.57924094
Feeding,10684.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10684.wav,0,0.626542395
Feeding,10870.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10870.wav,0,0.127193556
Feeding,10874.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10874.wav,0,0.596841444
Feeding,10875.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10875.wav,0,0.089530247
Feeding,10903.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10903.wav,0,0.580189674
Fighting,11036.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11036.wav,1,0.234453635
Feeding,11052.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11052.wav,0,0.073157603
Feeding,11086.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11086.wav,0,0.540859901
Feeding,11087.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11087.wav,0,0.734055823
Feeding,11310.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11310.wav,0,0.012814829
Feeding,11320.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11320.wav,0,0.827989892
Feeding,11321.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11321.wav,0,0.827342322
Feeding,11325.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11325.wav,0,0.027221688
Feeding,11353.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11353.wav,0,0.74526366
Feeding,11356.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11356.wav,0,0.976736602
Feeding,11389.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11389.wav,0,0.163061787
Feeding,11544.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11544.wav,0,0.114482203
Feeding,11546.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11546.wav,0,0.240916576
Feeding,11566.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11566.wav,0,0.687122644
Feeding,11571.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11571.wav,0,0.067473323
Feeding,11747.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11747.wav,0,0.491303357
Feeding,11775.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11775.wav,0,0.400219795
Feeding,11868.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11868.wav,0,0.620526235
Feeding,11869.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11869.wav,0,0.30087365
Feeding,11871.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11871.wav,0,0.774279448
Feeding,11885.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11885.wav,0,0.159567339
Feeding,11891.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11891.wav,0,0.382028276
Feeding,11937.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11937.wav,0,0.323619018
Feeding,11946.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11946.wav,0,0.557393871
Feeding,11963.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11963.wav,0,0.54077946
Feeding,11971.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11971.wav,0,0.057525195
Feeding,11973.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11973.wav,0,0.53057424
Feeding,12015.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12015.wav,0,0.657564245
Feeding,12027.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12027.wav,0,0.492417333
Feeding,12031.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12031.wav,0,0.874176636
Feeding,12032.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12032.wav,0,0.322636319
Feeding,12057.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12057.wav,0,0.395524462
Feeding,12058.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12058.wav,0,0.531064126
Feeding,12067.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12067.wav,0,0.510390199
Feeding,12070.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12070.wav,0,0.779483356
Feeding,12077.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12077.wav,0,0.957096255
Feeding,12078.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12078.wav,0,0.805826341
Feeding,12091.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12091.wav,0,0.874263831
Feeding,12092.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12092.wav,0,0.240462614
Feeding,12104.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12104.wav,0,0.538127
Feeding,12115.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12115.wav,0,0.722602706
Feeding,12119.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12119.wav,0,0.548712939
Feeding,12219.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12219.wav,0,0.911702242
Feeding,12221.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12221.wav,0,0.664112303
Feeding,12236.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12236.wav,0,0.955333182
Feeding,12238.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12238.wav,0,0.243169429
Feeding,12244.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12244.wav,0,0.155236469
Feeding,12252.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12252.wav,0,0.344402337
Feeding,12264.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12264.wav,0,0.363580337
Feeding,12266.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12266.wav,0,0.768474845
Feeding,12272.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12272.wav,0,0.608385113
Feeding,12302.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12302.wav,0,0.042768534
Feeding,12303.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12303.wav,0,0.862123932
Feeding,12325.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12325.wav,0,0.917826968
Fighting,12329.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12329.wav,1,0.400521593
Feeding,12331.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12331.wav,0,0.776660888
Feeding,12349.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12349.wav,0,0.446888182
Feeding,12361.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12361.wav,0,0.431965433
Feeding,12366.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12366.wav,0,0.521609453
Feeding,12493.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12493.wav,0,0.051386344
Feeding,12496.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12496.wav,0,0.53281878
Fighting,12532.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12532.wav,1,0.917003116
Fighting,12541.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12541.wav,1,0.129199253
Fighting,12587.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12587.wav,1,0.25770134
Fighting,12593.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12593.wav,1,0.185833325
Fighting,12646.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12646.wav,1,0.883623879
Fighting,12775.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12775.wav,1,0.959678197
Fighting,13101.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13101.wav,1,0.268599765
Fighting,13125.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13125.wav,1,0.928926122
Feeding,1334.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1334.wav,0,0.716235623
Fighting,13552.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13552.wav,1,0.360326043
Feeding,13597.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13597.wav,0,0.762845095
Feeding,13650.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13650.wav,0,0.819867428
Fighting,13837.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13837.wav,1,0.502249003
Fighting,13925.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13925.wav,1,0.832326731
Fighting,13986.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13986.wav,1,0.775526338
Fighting,14027.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14027.wav,1,0.72789752
Fighting,14046.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14046.wav,1,0.645092796
Fighting,14086.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14086.wav,1,0.938578419
Fighting,14145.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14145.wav,1,0.768304324
Fighting,14445.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14445.wav,1,0.427677015
Fighting,14464.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14464.wav,1,0.463947823
Fighting,14465.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14465.wav,1,0.368198987
Fighting,14466.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14466.wav,1,0.229563982
Fighting,14488.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14488.wav,1,0.449448895
Feeding,14924.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14924.wav,0,0.86520557
Feeding,14947.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14947.wav,0,0.959736982
Fighting,15510.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15510.wav,1,0.491415839
Feeding,15538.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15538.wav,0,0.827011725
Fighting,15763.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15763.wav,1,0.56321876
Fighting,15782.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15782.wav,1,0.598578155
Fighting,15783.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15783.wav,1,0.924809893
Fighting,15979.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15979.wav,1,0.230943183
Fighting,15994.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15994.wav,1,0.867584075
Feeding,1604.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1604.wav,0,0.196169995
Feeding,16046.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16046.wav,0,0.245440885
Feeding,1605.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1605.wav,0,0.324725328
Feeding,162.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\162.wav,0,0.360033005
Fighting,16325.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16325.wav,1,0.519308334
Feeding,1635.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1635.wav,0,0.694785621
Feeding,1641.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1641.wav,0,0.115114248
Feeding,1644.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1644.wav,0,0.834936987
Feeding,16517.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16517.wav,0,0.94737444
Feeding,16526.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16526.wav,0,0.697976901
Fighting,16590.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16590.wav,1,0.114369467
Feeding,166.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\166.wav,0,0.698467745
Fighting,16617.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16617.wav,1,0.862973875
Fighting,16647.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16647.wav,1,0.481121195
Feeding,16717.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16717.wav,0,0.657455821
Feeding,16765.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16765.wav,0,0.92755665
Fighting,16790.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16790.wav,1,0.051373369
Fighting,16793.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16793.wav,1,0.086838566
Fighting,16806.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16806.wav,1,0.340531688
Fighting,16814.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16814.wav,1,0.250825507
Fighting,16817.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16817.wav,1,0.064566552
Fighting,16831.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16831.wav,1,0.891731055
Fighting,16931.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16931.wav,1,0.43148729
Feeding,17350.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17350.wav,0,0.734200074
Fighting,17485.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17485.wav,1,0.570040574
Feeding,17577.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17577.wav,0,0.174404148
Feeding,17705.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17705.wav,0,0.286783909
Feeding,180.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\180.wav,0,0.442229948
Feeding,18192.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18192.wav,0,0.588258064
Feeding,18444.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18444.wav,0,0.664686905
Feeding,18477.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18477.wav,0,0.523653151
Fighting,18494.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18494.wav,1,0.776499201
Feeding,18509.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18509.wav,0,0.715019188
Feeding,18548.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18548.wav,0,0.338864416
Feeding,18745.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18745.wav,0,0.091384164
Feeding,1889.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1889.wav,0,0.077366277
Feeding,1904.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1904.wav,0,0.474041616
Fighting,19040.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19040.wav,1,0.805572911
Feeding,19136.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19136.wav,0,0.757938749
Feeding,19568.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19568.wav,0,0.350937162
Feeding,19717.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19717.wav,0,0.510177421
Feeding,20060.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20060.wav,0,0.798856699
Feeding,20292.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20292.wav,0,0.705088676
Feeding,2063.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2063.wav,0,0.977027463
Feeding,20680.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20680.wav,0,0.211986333
Feeding,20700.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20700.wav,0,0.285318826
Feeding,20713.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20713.wav,0,0.016056544
Feeding,20758.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20758.wav,0,0.741267836
Feeding,20924.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20924.wav,0,0.849907639
Fighting,20939.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20939.wav,1,0.575939823
Fighting,2095.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2095.wav,1,0.495280292
Fighting,20954.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20954.wav,1,0.140981918
Fighting,20965.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20965.wav,1,0.291821327
Feeding,21106.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\21106.wav,0,0.195477997
Feeding,21132.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\21132.wav,0,0.768001254
Fighting,2123.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2123.wav,1,0.257365348
Feeding,21306.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\21306.wav,0,0.720377041
Feeding,21312.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\21312.wav,0,0.70862629
Fighting,21369.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\21369.wav,1,0.576773375
Feeding,21480.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\21480.wav,0,0.43547876
Feeding,216.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\216.wav,0,0.227028351
Fighting,2167.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2167.wav,1,0.610059994
Feeding,22417.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22417.wav,0,0.46430581
Feeding,22551.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22551.wav,0,0.428900824
Fighting,22555.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22555.wav,1,0.439943336
Feeding,22628.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22628.wav,0,0.257478468
Feeding,22630.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22630.wav,0,0.526857405
Feeding,22636.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22636.wav,0,0.657866809
Feeding,22637.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22637.wav,0,0.38457986
Feeding,22639.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22639.wav,0,0.900249348
Feeding,22642.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22642.wav,0,0.946352299
Feeding,22643.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22643.wav,0,0.780285581
Feeding,22645.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22645.wav,0,0.369844594
Feeding,22662.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22662.wav,0,0.065455861
Feeding,22843.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22843.wav,0,0.743343205
Feeding,2288.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2288.wav,0,0.180341165
Fighting,22893.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\22893.wav,1,0.117250645
Feeding,2297.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2297.wav,0,0.929264052
Feeding,2303.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2303.wav,0,0.564517797
Feeding,2316.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\2316.wav,0,0.774467392
Feeding,23293.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\23293.wav,0,0.671930818
Feeding,23495.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\23495.wav,0,0.399523031
Feeding,23692.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\23692.wav,0,0.800491306
Feeding,23714.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\23714.wav,0,0.554601283
Feeding,24189.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\24189.wav,0,0.444034274
Feeding,24494.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\24494.wav,0,0.399553311
Fighting,24618.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\24618.wav,1,0.260126374
Fighting,24799.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\24799.wav,1,0.045079275
Feeding,24837.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\24837.wav,0,0.340561691
Feeding,24838.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\24838.wav,0,0.403625321
Feeding,25154.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\25154.wav,0,0.434050449
Feeding,25155.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\25155.wav,0,0.370590052
Feeding,25156.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\25156.wav,0,0.298631989
Feeding,25159.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\25159.wav,0,0.068637661
Feeding,25359.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\25359.wav,0,0.596321878
Feeding,25372.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\25372.wav,0,0.052283626
