Context,File Name,AudioLink,click,class,helper
Feeding,10422.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10422.wav,10422.wav,0,0.421178892
Feeding,10643.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10643.wav,10643.wav,0,0.866124301
Feeding,10646.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10646.wav,10646.wav,0,0.57924094
Feeding,10684.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10684.wav,10684.wav,0,0.626542395
Feeding,10870.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10870.wav,10870.wav,0,0.127193556
Feeding,10874.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10874.wav,10874.wav,0,0.596841444
Feeding,10875.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10875.wav,10875.wav,0,0.089530247
Feeding,10881.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10881.wav,10881.wav,0,0.76437634
Feeding,10902.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10902.wav,10902.wav,0,0.103276178
Feeding,10903.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10903.wav,10903.wav,0,0.580189674
Feeding,11052.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11052.wav,11052.wav,0,0.073157603
Feeding,11053.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11053.wav,11053.wav,0,0.057628751
Feeding,11086.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11086.wav,11086.wav,0,0.540859901
Feeding,11087.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11087.wav,11087.wav,0,0.734055823
Feeding,11120.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11120.wav,11120.wav,0,0.774724874
Feeding,11310.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11310.wav,11310.wav,0,0.012814829
Feeding,11320.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11320.wav,11320.wav,0,0.827989892
Feeding,11321.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11321.wav,11321.wav,0,0.827342322
Feeding,11325.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11325.wav,11325.wav,0,0.027221688
Feeding,11341.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11341.wav,11341.wav,0,0.4849201
Feeding,11342.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11342.wav,11342.wav,0,0.092598709
Feeding,11353.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11353.wav,11353.wav,0,0.74526366
Feeding,11356.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11356.wav,11356.wav,0,0.976736602
Feeding,11389.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11389.wav,11389.wav,0,0.163061787
Feeding,11456.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11456.wav,11456.wav,0,0.647660447
Feeding,11458.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11458.wav,11458.wav,0,0.058060246
Feeding,11533.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11533.wav,11533.wav,0,0.696453865
Feeding,11544.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11544.wav,11544.wav,0,0.114482203
Feeding,11546.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11546.wav,11546.wav,0,0.240916576
Feeding,11566.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11566.wav,11566.wav,0,0.687122644
Feeding,11571.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11571.wav,11571.wav,0,0.067473323
Feeding,11747.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11747.wav,11747.wav,0,0.491303357
Feeding,11775.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11775.wav,11775.wav,0,0.400219795
Feeding,11781.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11781.wav,11781.wav,0,0.968945317
Feeding,11797.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11797.wav,11797.wav,0,0.982008413
Feeding,11868.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11868.wav,11868.wav,0,0.620526235
Feeding,11869.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11869.wav,11869.wav,0,0.30087365
Feeding,11870.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11870.wav,11870.wav,0,0.210285315
Feeding,11871.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11871.wav,11871.wav,0,0.774279448
Feeding,11885.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11885.wav,11885.wav,0,0.159567339
Feeding,11891.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11891.wav,11891.wav,0,0.382028276
Feeding,11903.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11903.wav,11903.wav,0,0.676859654
Feeding,11929.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11929.wav,11929.wav,0,0.851411029
Feeding,11937.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11937.wav,11937.wav,0,0.323619018
Feeding,11946.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11946.wav,11946.wav,0,0.557393871
Feeding,11963.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11963.wav,11963.wav,0,0.54077946
Feeding,11971.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11971.wav,11971.wav,0,0.057525195
Feeding,11973.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\11973.wav,11973.wav,0,0.53057424
Feeding,12015.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12015.wav,12015.wav,0,0.657564245
Feeding,12016.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12016.wav,12016.wav,0,0.366176973
Feeding,12027.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12027.wav,12027.wav,0,0.492417333
Feeding,12029.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12029.wav,12029.wav,0,0.143910711
Feeding,12031.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12031.wav,12031.wav,0,0.874176636
Feeding,12032.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12032.wav,12032.wav,0,0.322636319
Feeding,12057.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12057.wav,12057.wav,0,0.395524462
Feeding,12058.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12058.wav,12058.wav,0,0.531064126
Feeding,12067.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12067.wav,12067.wav,0,0.510390199
Feeding,12070.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12070.wav,12070.wav,0,0.779483356
Feeding,12077.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12077.wav,12077.wav,0,0.957096255
Feeding,12078.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12078.wav,12078.wav,0,0.805826341
Feeding,12091.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12091.wav,12091.wav,0,0.874263831
Feeding,12092.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12092.wav,12092.wav,0,0.240462614
Feeding,12093.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12093.wav,12093.wav,0,0.05597166
Feeding,12098.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12098.wav,12098.wav,0,0.088071912
Feeding,12104.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12104.wav,12104.wav,0,0.538127
Feeding,12115.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12115.wav,12115.wav,0,0.722602706
Feeding,12116.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12116.wav,12116.wav,0,0.784196653
Feeding,12117.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12117.wav,12117.wav,0,0.737965132
Feeding,12118.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12118.wav,12118.wav,0,0.438342231
Feeding,12119.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12119.wav,12119.wav,0,0.548712939
Feeding,12124.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12124.wav,12124.wav,0,0.693803084
Feeding,12183.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12183.wav,12183.wav,0,0.382200735
Feeding,12219.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12219.wav,12219.wav,0,0.911702242
Feeding,12221.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12221.wav,12221.wav,0,0.664112303
Feeding,12236.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12236.wav,12236.wav,0,0.955333182
Feeding,12237.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12237.wav,12237.wav,0,0.609887187
Feeding,12238.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12238.wav,12238.wav,0,0.243169429
Feeding,12243.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12243.wav,12243.wav,0,0.082938394
Feeding,12244.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12244.wav,12244.wav,0,0.155236469
Feeding,12252.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12252.wav,12252.wav,0,0.344402337
Feeding,12255.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12255.wav,12255.wav,0,0.999041138
Feeding,12264.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12264.wav,12264.wav,0,0.363580337
Feeding,12265.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12265.wav,12265.wav,0,0.423177621
Feeding,12266.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12266.wav,12266.wav,0,0.768474845
Feeding,12272.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12272.wav,12272.wav,0,0.608385113
Feeding,12300.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12300.wav,12300.wav,0,0.266378266
Feeding,12302.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12302.wav,12302.wav,0,0.042768534
Feeding,12303.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12303.wav,12303.wav,0,0.862123932
Feeding,12305.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12305.wav,12305.wav,0,0.827354991
Feeding,12325.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12325.wav,12325.wav,0,0.917826968
Feeding,12331.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12331.wav,12331.wav,0,0.776660888
Feeding,12349.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12349.wav,12349.wav,0,0.446888182
Feeding,12361.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12361.wav,12361.wav,0,0.431965433
Feeding,12366.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12366.wav,12366.wav,0,0.521609453
Feeding,12492.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12492.wav,12492.wav,0,0.582309204
Feeding,12493.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12493.wav,12493.wav,0,0.051386344
Feeding,12496.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12496.wav,12496.wav,0,0.53281878
Feeding,12497.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\12497.wav,12497.wav,0,0.617507087
Feeding,1334.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1334.wav,1334.wav,0,0.716235623
Feeding,1335.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1335.wav,1335.wav,0,0.183196788
Feeding,13597.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13597.wav,13597.wav,0,0.762845095
Feeding,13650.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13650.wav,13650.wav,0,0.819867428
Feeding,13732.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\13732.wav,13732.wav,0,0.803903041
Feeding,1397.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1397.wav,1397.wav,0,0.635622298
Feeding,14924.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14924.wav,14924.wav,0,0.86520557
Feeding,14946.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14946.wav,14946.wav,0,0.056034061
Feeding,14947.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\14947.wav,14947.wav,0,0.959736982
Feeding,15538.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15538.wav,15538.wav,0,0.827011725
Feeding,1560.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1560.wav,1560.wav,0,0.42759075
Feeding,15643.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\15643.wav,15643.wav,0,0.768044909
Feeding,1567.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1567.wav,1567.wav,0,0.372889798
Feeding,1569.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1569.wav,1569.wav,0,0.13703376
Feeding,1573.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1573.wav,1573.wav,0,0.693506782
Feeding,159.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\159.wav,159.wav,0,0.349718388
Feeding,1604.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1604.wav,1604.wav,0,0.196169995
Feeding,16046.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16046.wav,16046.wav,0,0.245440885
Feeding,1605.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1605.wav,1605.wav,0,0.324725328
Feeding,162.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\162.wav,162.wav,0,0.360033005
Feeding,16297.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16297.wav,16297.wav,0,0.228339897
Feeding,163.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\163.wav,163.wav,0,0.324911476
Feeding,1635.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1635.wav,1635.wav,0,0.694785621
Feeding,1641.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1641.wav,1641.wav,0,0.115114248
Feeding,1642.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1642.wav,1642.wav,0,0.031246247
Feeding,1643.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1643.wav,1643.wav,0,0.700318867
Feeding,16438.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16438.wav,16438.wav,0,0.120664281
Feeding,1644.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1644.wav,1644.wav,0,0.834936987
Feeding,16498.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16498.wav,16498.wav,0,0.132661108
Feeding,16517.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16517.wav,16517.wav,0,0.94737444
Feeding,16523.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16523.wav,16523.wav,0,0.71510532
Feeding,16526.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16526.wav,16526.wav,0,0.697976901
Feeding,16542.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16542.wav,16542.wav,0,0.018595399
Feeding,16550.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16550.wav,16550.wav,0,0.469558634
Feeding,166.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\166.wav,166.wav,0,0.698467745
Feeding,16717.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16717.wav,16717.wav,0,0.657455821
Feeding,16765.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\16765.wav,16765.wav,0,0.92755665
Feeding,17074.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17074.wav,17074.wav,0,0.179643745
Feeding,17075.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17075.wav,17075.wav,0,0.168768934
Feeding,17131.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17131.wav,17131.wav,0,0.738507153
Feeding,17350.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17350.wav,17350.wav,0,0.734200074
Feeding,17577.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17577.wav,17577.wav,0,0.174404148
Feeding,176.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\176.wav,176.wav,0,0.039977121
Feeding,17705.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\17705.wav,17705.wav,0,0.286783909
Feeding,180.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\180.wav,180.wav,0,0.442229948
Feeding,18176.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18176.wav,18176.wav,0,0.887137978
Feeding,18177.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18177.wav,18177.wav,0,0.019030101
Feeding,18192.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18192.wav,18192.wav,0,0.588258064
Feeding,18193.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18193.wav,18193.wav,0,0.665777611
Feeding,18444.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18444.wav,18444.wav,0,0.664686905
Feeding,18475.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18475.wav,18475.wav,0,0.4610627
Feeding,18476.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18476.wav,18476.wav,0,0.07270245
Feeding,18477.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18477.wav,18477.wav,0,0.523653151
Feeding,18509.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18509.wav,18509.wav,0,0.715019188
Feeding,18510.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18510.wav,18510.wav,0,0.168367452
Feeding,18535.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18535.wav,18535.wav,0,0.828235755
Feeding,18548.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18548.wav,18548.wav,0,0.338864416
Feeding,18558.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18558.wav,18558.wav,0,0.34261712
Feeding,18560.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18560.wav,18560.wav,0,0.393371965
Feeding,18745.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18745.wav,18745.wav,0,0.091384164
Feeding,18746.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\18746.wav,18746.wav,0,0.943680358
Feeding,1889.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1889.wav,1889.wav,0,0.077366277
Feeding,1904.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1904.wav,1904.wav,0,0.474041616
Feeding,19136.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19136.wav,19136.wav,0,0.757938749
Feeding,19272.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19272.wav,19272.wav,0,0.555255642
Feeding,193.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\193.wav,193.wav,0,0.66757456
Feeding,1933.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1933.wav,1933.wav,0,0.202070805
Feeding,19568.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19568.wav,19568.wav,0,0.350937162
Feeding,19569.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19569.wav,19569.wav,0,0.711247204
Feeding,1969.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\1969.wav,1969.wav,0,0.060903283
Feeding,19717.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19717.wav,19717.wav,0,0.510177421
Feeding,19864.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\19864.wav,19864.wav,0,0.545943691
Feeding,20055.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20055.wav,20055.wav,0,0.692642771
Feeding,20060.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20060.wav,20060.wav,0,0.798856699
Feeding,20061.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20061.wav,20061.wav,0,0.317123542
Feeding,20069.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\20069.wav,20069.wav,0,0.235310464
